,symbol,openValue,previousClose,diff,rank
58,MCDOWELL-N,1237.8,1194.75,-0.03603264281230379,39.0
121,VOLTAS,1321.95,1276.05,-0.035970377336311345,40.0
126,ADANIENT,2864.8,2766.65,-0.03547611732600802,41.0
136,GNFC,659.65,637.05,-0.03547602229024413,42.0
69,ITC,440.05,425.1,-0.035168195718654406,43.0
61,METROPOLIS,1775.05,1714.95,-0.03504475349135538,44.0
153,MANAPPURAM,171.6,165.8,-0.034981905910735724,45.0
129,TATAPOWER,427.85,413.5,-0.03470374848851275,46.0
19,TATACHEM,1080.0,1044.3,-0.03418557885665043,47.0
67,DRREDDY,6074.5,5877.35,-0.03354402919683184,48.0
97,MOTHERSON,129.65,125.5,-0.033067729083665384,49.0
83,RBLBANK,247.8,239.9,-0.03293038766152566,50.0
62,OBEROIRLTY,1505.45,1458.5,-0.032190606787795714,51.0
79,INDIAMART,2730.0,2645.0,-0.03213610586011342,52.0
77,CANBK,563.0,545.5,-0.032080659945004586,53.0
158,GUJGASLTD,549.0,531.95,-0.032051884575617924,54.0
110,INDUSTOWER,338.3,327.85,-0.03187433277413448,55.0
13,LTF,162.0,157.05,-0.031518624641833734,56.0
82,ABB,7205.0,6985.1,-0.03148129590127552,57.0
156,BIOCON,308.05,298.65,-0.031474970701490156,58.0
117,INDUSINDBK,1445.5,1401.45,-0.03143173142102819,59.0
21,HDFCAMC,3729.9,3616.4,-0.03138480256608782,60.0
165,BRITANNIA,5228.05,5070.1,-0.031153231691682572,61.0
72,PNB,125.95,122.15,-0.031109291854277504,62.0
140,SIEMENS,6319.0,6130.2,-0.030798342631561806,63.0
116,VEDL,406.8,394.65,-0.030786773090079905,64.0
174,JUBLFOOD,469.15,455.25,-0.030532674354750086,65.0
177,DEEPAKNTR,2510.0,2435.8,-0.030462271122423768,66.0
59,MGL,1370.0,1329.75,-0.030268847527730777,67.0
181,NTPC,356.5,346.05,-0.030197948273370866,68.0
113,DLF,862.0,836.9,-0.029991635798781245,69.0
115,BAJFINANCE,6799.9,6605.15,-0.029484568859147787,70.0
167,TORNTPHARM,2595.0,2524.35,-0.027987402697724203,71.0
170,BANKBARODA,270.0,262.65,-0.027984009137635726,72.0
135,ADANIPORTS,1279.0,1244.55,-0.027680687798802818,73.0
56,ESCORTS,3540.0,3445.35,-0.027471809830641326,74.0
106,CONCOR,1017.75,990.6,-0.027407631738340377,75.0
8,GMRINFRA,80.7,78.55,-0.027371101209420823,76.0
154,EXIDEIND,461.0,448.8,-0.027183600713012453,77.0
112,BAJAJFINSV,1606.7,1564.6,-0.0269078358685927,78.0
91,ABFRL,253.75,247.15,-0.026704430507788767,79.0
39,TATACONSUM,1114.0,1085.05,-0.02668079811990235,80.0
27,BALRAMCHIN,381.55,371.7,-0.026499865482916392,81.0
133,DALBHARAT,1774.0,1728.25,-0.02647186460292203,82.0
102,INDHOTEL,564.9,550.65,-0.02587850721874149,83.0
104,JINDALSTEL,945.05,921.3,-0.025778790839031805,84.0
155,IGL,451.2,440.0,-0.025454545454545428,85.0
60,COFORGE,4411.0,4301.8,-0.025384722674229348,86.0
38,COROMANDEL,1213.25,1183.55,-0.025093996873811877,87.0
